,f,c,正面,側面,斜面,高い,低い,近い,遠い,直線,曲線,森林,駅,畑,鉄橋,踏切,車両,,,,,,
2016/6/12,59,,,1,,,1,1,,1,,,,,1,,113y,,,,,,
2016/6/9,56,,,,1,,1,1,,1,,,,,1,,165,,,,,,
2016/6/6,62,,,1,,,1,,1,1,,,,,1,,24h,,,,,,
2016/6/4,59,,,1,,,1,,1,,1,,,1,,,457,,,,,,
2016/6/2,60,,,,1,1,,1,,1,,,,,,1,ef65,24,153,,,,
2016/5/31,67,,1,,,1,,,1,,1,,,,1,,ef65pf,14,,,,,
2016/5/29,75,,1,,,1,,,1,1,,,1,,,,ef66,fre,113,,,,
2016/5/26,64,,,,1,,1,1,,1,,,1,,,,24,153,,,,,
2016/5/24,65,,1,,,,1,1,,,1,,,,,,dc82,,,,,,
2016/5/22,60,,,,1,,1,1,,1,,,,,1,,113,,,,,,
2016/5/21,60,1,,,1,,1,1,,1,,,1,,,,115,,,,,,
2016/5/18,54,,,,1,,1,1,,1,,,1,,,,185,,,,,,
2016/5/16,58,,,1,,1,,,1,1,,1,,,,1,dd51,nimotu,14,,,,
2016/5/14,73,1,,,1,1,,,1,1,,,1,,,,583,ed75,old_pc,,,,
2016/5/12,65,,1,,,,1,1,,,1,,,,,,165,,,,,,
2016/5/10,63,,,,1,1,,,1,1,,1,,,,,dc40,,,,,,
2016/5/8,68,,1,,,,1,1,,1,,,,,1,,14,,,,,,
2016/5/6,83,,,,1,1,,,1,1,,1,,,,1,ef81,24h,,,,,
2016/5/3,70,,,,1,,1,,1,1,,1,,,1,,ef81,20,,,,,
2016/5/1,96,,,,1,1,,1,,1,,,1,,,,185,165,113,,,,
2016/4/29,67,,,,1,,1,1,,1,,1,,,,,ed75,old_pc,,,,,
2016/4/26,72,1,1,,,1,,,1,,1,,,1,,1,457,,,,,,
2016/4/23,72,,,,1,,1,1,,1,,,1,,,,ef65,24,,,,,
2016/4/21,133,1,,,1,1,,,1,,1,,1,,,,dd51,nimotu,14,,,,
2016/4/18,62,,,,1,,1,1,,1,,1,,,,,ef65pf,14,,,,,
2016/4/16,71,,,,1,1,,,1,,1,,,1,,,113,,,,,,
2016/4/14,83,1,,1,,1,,1,,1,,,1,,,,115,,,,,,
2016/4/12,64,,,1,,1,,,1,,1,,,,1,,185,,,,,,
2016/4/10,96,,,,1,,1,1,,1,,,1,,,,14,165,,,,,
2016/4/8,72,,,,1,1,,,1,1,,1,,,,1,ef66,fre,,,,,
2016/4/6,65,,,1,,1,,,1,,1,,1,1,,1,165,115,,,,,
2016/4/5,59,,,,1,1,,,1,1,,,1,,,,20,dc30,,,,,
2016/4/3,73,1,,,1,,1,1,,1,,,1,,,,c62,20,,,,,
2016/4/2,72,,1,,,,1,1,,,1,,,,,,ef65pf,14,,,,,
2016/3/31,70,,,1,,1,,,1,1,,,1,,,,165,115,,,,,
2016/3/29,91,,,,1,,1,1,,1,,,1,,,,24,,,,,,
2016/3/28,81,,,1,,1,,,1,1,,,,,1,,24h,,,,,,
2016/3/25,63,,,,1,1,,,1,1,,,1,,,,ef65pf,14,165,,,,
2016/3/24,76,,,,1,1,,,1,1,,,1,,,,185,165,,,,,
2016/3/22,79,,1,,,,1,1,,1,,1,,,,1,dd51,14,,,,,
2016/3/21,78,,,,1,1,,,1,1,,,1,,,,113,,,,,,
2016/3/19,88,,,,1,,1,1,,1,,1,,,,1,14,,,,,,
2016/3/17,64,,,,1,,1,,1,1,,,,,,,ef65,fre,113,,,,
2016/3/14,67,,,,1,,1,,1,,1,,,1,,,ef65pf,14,,,,,
2016/3/12,65,,,,1,,1,1,,1,,,,,1,,113y,,,,,,
2016/3/11,64,,,,1,1,,1,,1,,,1,,,,ed75,old_pc,,,,,
2016/3/8,80,2,,,1,1,,,1,1,,,1,,,,457,ed75,old_pc,,,,
2016/3/6,67,,,,1,,1,1,,1,,,1,,,,nimotu,113,,,,,
2016/3/5,56,,,1,,1,,,1,,1,,1,,,,185,,,,,,
2016/3/2,77,1,,,1,1,,,1,1,,1,,,,1,ef66,fre,,,,,
2016/2/29,75,,,1,,1,,,1,,1,,,,1,,165,,,,,,
2016/2/27,85,,1,,,,1,1,,1,,,1,,,,fre,113,dd51,,,,
2016/2/25,75,,,,1,,1,1,,1,,,,,,,113y,113,,,,,
2016/2/23,86,1,,,1,1,,,1,1,,1,,,,,457,,,,,,
2016/2/21,86,,,,1,1,,,1,1,,,1,,,,113,,,,,,
2016/2/18,82,1,,1,,1,,1,,1,,,1,,,,iida,,,,,,
2016/2/16,115,,,,1,1,,,1,1,,,1,,,,583,old_pc,,,,,
2016/2/14,80,1,,,1,,1,,1,1,,,1,,,,165,115,,,,,
2016/2/12,73,1,,,1,1,,,1,,1,,,,1,,ef66,fre,,,,,
2016/2/9,67,,,,1,,1,,1,1,,,1,,,,113y,,,,,,
2016/2/7,82,2,,,1,1,,,1,1,,1,,,,,113,,,,,,
2016/2/5,91,,,,1,,1,1,,1,,,1,,,,dc82,457,dd51,,,,
2016/2/2,82,,,1,,1,,,1,,1,,,,1,,113,,,,,,
2016/1/31,59,,,1,,,1,1,,1,,1,,,,1,iida,,,,,,
