,f,c,正面,側面,斜面,高い,低い,近い,遠い,直線,曲線,森林,駅,畑,鉄橋,踏切,車両,,,,,,
2015/3/12,24,,1,,,,1,1,,1,,,,,,,415,,,,,,
2015/3/11,24,,1,,,,1,1,,1,,,,,1,,14,,,,,,
2015/3/9,32,,,,1,,1,1,,,1,,,,,,ef65pf,14,,,,,
2015/3/9,22,,,1,,,1,1,,1,,,,,,,113y,,,,,,
2015/3/7,35,,,,1,,1,1,,1,,,,,,,153,,,,,,
2015/3/7,27,,,,1,,1,1,,1,,,1,,,,ed75,,,,,,
2015/3/5,27,,,1,,,1,1,,1,,,,,,,115,,,,,,
2015/3/4,27,,,,1,1,,1,,1,,1,,,,,113,153,,,,,
2015/3/4,23,,,1,,1,,1,,1,,,,,,,ef15,115,iida,fre,,,
2015/3/2,31,,,1,,,1,1,,1,,1,,,,1,14,,,,,,
2015/3/1,28,1,,,1,,1,1,,1,,,,,1,,ef65pf,14,,,,,
2015/3/1,35,,,,1,1,,1,,1,,1,,,,1,dc58,,,,,,
2015/2/28,26,,,,1,,1,1,,1,,,1,,,,457,,,,,,
2015/2/26,25,,1,,,,1,1,,1,,,1,,,,iida,,,,,,
2015/2/24,21,,,,1,,1,1,,1,,,,,,,115,,,,,,
2015/2/22,38,,1,,,1,,,1,1,,,1,,,,iida,ef15,115,fre,,,
2015/2/21,16,,,,1,,1,1,,1,,,,,,,ef65,,,,,,
2015/2/20,32,1,,,1,1,,1,,1,,1,,,,1,415,,,,,,
2015/2/19,21,,,,1,,1,1,,1,,,,,,,iida,,,,,,
2015/2/18,20,,,,1,1,,1,,1,,,1,,,,dc52,,,,,,
2015/2/16,23,,1,,,1,,1,,1,,,1,,,,ef65,fre,,,,,
2015/2/16,20,,,,1,,1,1,,1,,1,,,,,df50,old_pc,,,,,
2015/2/15,35,1,1,,,,1,1,,1,,,,,,,dc58,dc52,,,,,
2015/2/14,29,,,,1,,1,1,,1,,,1,,,,113y,ef65,fre,,,,
2015/2/13,32,,,1,,1,,1,,1,,,1,,,,c62,d51,dc52,dd51,,,
2015/2/13,36,1,1,,,,1,1,,1,,1,,,,1,ef65pf,14,,,,,
2015/2/12,24,,,1,,,1,1,,1,,,1,,,,fre,,,,,,
2015/2/10,36,1,1,,,,1,1,,1,,,1,,,,dd51,,,,,,
2015/2/9,21,,,,1,,1,1,,1,,,,,,,14,,,,,,
2015/2/9,28,1,,,1,,1,1,,1,,,,,1,,ef62,,,,,,
2015/2/9,17,,,,1,,1,1,,1,,1,,,,,113y,,,,,,
2015/2/8,23,,,1,,,1,1,,1,,,1,,,,153,113,,,,,
2015/2/8,40,,,,1,1,,1,,1,,,1,,,,dd51,14,dc82,,,,
2015/2/8,35,,,1,,,1,1,,1,,,,,,,dc58,,,,,,
